unitId,unitTitle,term,sourceVerified,matches,exactPaperMatches
cs-1,Data representation,Bit,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Nibble,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Byte,false,"paper:25paper1.json:exact",""
cs-1,Data representation,Binary,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Denary,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Hexadecimal,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Overflow,false,"paper:24paper1.json:exact",""
cs-1,Data representation,Character set,false,"",""
cs-1,Data representation,ASCII,false,"",""
cs-1,Data representation,Unicode,false,"",""
cs-1,Data representation,pixel,false,"",""
cs-1,Data representation,Resolution,false,"",""
cs-1,Data representation,Colour depth,false,"",""
cs-1,Data representation,Metadata,false,"",""
cs-1,Data representation,graphic,false,"",""
cs-1,Data representation,Vector graphics,false,"",""
cs-1,Data representation,Sample rate,false,"",""
cs-1,Data representation,Bit rate,false,"",""
cs-1,Data representation,Sampling resolution,false,"",""
cs-1,Data representation,Compression,false,"paper:25paper1.json:exact",""
cs-1,Data representation,Lossless compression,false,"",""
cs-1,Data representation,Lossy compression,false,"",""
cs-1,Data representation,Run-length encoding (RLE),false,"",""
cs-2,Data transmission,Serial transmission,false,"",""
cs-2,Data transmission,Parallel transmission,false,"",""
cs-2,Data transmission,Simplex,false,"",""
cs-2,Data transmission,Half-duplex,false,"",""
cs-2,Data transmission,Full-duplex,false,"",""
cs-2,Data transmission,Packet,false,"",""
cs-2,Data transmission,Header,false,"",""
cs-2,Data transmission,Payload,false,"",""
cs-2,Data transmission,Trailer,false,"",""
cs-2,Data transmission,Checksum,false,"",""
cs-2,Data transmission,Parity bit,false,"",""
cs-2,Data transmission,Even parity,false,"",""
cs-2,Data transmission,Odd parity,false,"",""
cs-2,Data transmission,ARQ,false,"",""
cs-2,Data transmission,ACK/NACK,false,"",""
cs-2,Data transmission,Protocol,false,"",""
cs-2,Data transmission,Packet switching,false,"",""
cs-2,Data transmission,Buffering,false,"",""
cs-3,Hardware,CPU,false,"paper:25paper1.json:exact",""
cs-3,Hardware,ALU,false,"paper:24paper2.json:exact|paper:25paper2.json:exact",""
cs-3,Hardware,Control unit,false,"",""
cs-3,Hardware,Clock,false,"",""
cs-3,Hardware,Register,false,"paper:25paper1.json:exact",""
cs-3,Hardware,Cache memory,false,"",""
cs-3,Hardware,RAM,false,"paper:24paper2.json:exact",""
cs-3,Hardware,ROM,false,"paper:24paper2.json:exact|paper:25paper1.json:exact|paper:25paper2.json:exact",""
cs-3,Hardware,Bus,false,"",""
cs-3,Hardware,Data bus,false,"",""
cs-3,Hardware,Address bus,false,"",""
cs-3,Hardware,Control bus,false,"",""
cs-3,Hardware,Von Neumann architecture,false,"",""
cs-3,Hardware,Input device,false,"",""
cs-3,Hardware,Output device,false,"paper:25paper1.json:exact",""
cs-3,Hardware,Sensor,false,"",""
cs-3,Hardware,Actuator,false,"",""
cs-3,Hardware,Secondary storage,false,"",""
cs-3,Hardware,HDD,false,"",""
cs-3,Hardware,SSD,false,"",""
cs-3,Hardware,Optical storage,false,"",""
cs-3,Hardware,Magnetic tape,false,"",""
cs-3,Hardware,Embedded system,false,"",""
cs-3,Hardware,Microcontroller,false,"",""
cs-3,Hardware,GPU,false,"",""
cs-4,Software,System software,false,"",""
cs-4,Software,Application software,false,"",""
cs-4,Software,Utility software,false,"",""
cs-4,Software,Firmware,false,"",""
cs-4,Software,Operating system,false,"",""
cs-4,Software,Device driver,false,"",""
cs-4,Software,User interface,false,"",""
cs-4,Software,CLI,false,"",""
cs-4,Software,GUI,false,"",""
cs-4,Software,Multitasking,false,"",""
cs-4,Software,Scheduling,false,"",""
cs-4,Software,Memory management,false,"",""
cs-4,Software,File management,false,"",""
cs-4,Software,Process management,false,"",""
cs-4,Software,Security,false,"paper:25paper1.json:exact",""
cs-4,Software,Translator,false,"",""
cs-4,Software,Compiler,false,"",""
cs-4,Software,Interpreter,false,"",""
cs-4,Software,Assembler,false,"",""
cs-4,Software,Source code,false,"",""
cs-4,Software,Object code,false,"",""
cs-4,Software,High-level language,false,"",""
cs-4,Software,Low-level language,false,"",""
cs-4,Software,Open source,false,"",""
cs-4,Software,Proprietary software,false,"",""
cs-4,Software,IDE,false,"paper:24paper1.json:exact|paper:24paper2.json:exact|paper:25paper1.json:exact",""
cs-5,The internet and its uses,Internet,false,"",""
cs-5,The internet and its uses,World Wide Web,false,"",""
cs-5,The internet and its uses,Web browser,false,"",""
cs-5,The internet and its uses,URL,false,"",""
cs-5,The internet and its uses,Domain name,false,"",""
cs-5,The internet and its uses,DNS,false,"",""
cs-5,The internet and its uses,IP address,false,"",""
cs-5,The internet and its uses,HTTP,false,"",""
cs-5,The internet and its uses,HTTPS,false,"",""
cs-5,The internet and its uses,HTML,false,"",""
cs-5,The internet and its uses,CSS,false,"",""
cs-5,The internet and its uses,JavaScript,false,"",""
cs-5,The internet and its uses,ISP,false,"",""
cs-5,The internet and its uses,Email,false,"",""
cs-5,The internet and its uses,FTP,false,"",""
cs-5,The internet and its uses,Cookie,false,"",""
cs-5,The internet and its uses,Firewall,false,"",""
cs-5,The internet and its uses,Malware,false,"",""
cs-5,The internet and its uses,Phishing,false,"",""
cs-5,The internet and its uses,Trojan,false,"",""
cs-5,The internet and its uses,Spyware,false,"",""
cs-5,The internet and its uses,Antivirus,false,"",""
cs-5,The internet and its uses,Encryption,false,"paper:25paper1.json:exact",""
cs-5,The internet and its uses,TLS/SSL,false,"",""
cs-5,The internet and its uses,Digital certificate,false,"",""
cs-5,The internet and its uses,Digital signature,false,"",""
cs-5,The internet and its uses,Authentication,false,"",""
cs-5,The internet and its uses,Proxy server,false,"",""
cs-6,Automated and emerging technologies,Automation,false,"",""
cs-6,Automated and emerging technologies,Artificial intelligence,false,"",""
cs-6,Automated and emerging technologies,Machine learning,false,"",""
cs-6,Automated and emerging technologies,Expert system,false,"",""
cs-6,Automated and emerging technologies,Robotics,false,"",""
cs-6,Automated and emerging technologies,Computer vision,false,"",""
cs-6,Automated and emerging technologies,Natural language processing,false,"",""
cs-6,Automated and emerging technologies,Speech recognition,false,"",""
cs-6,Automated and emerging technologies,Actuator,false,"",""
cs-6,Automated and emerging technologies,Sensor,false,"",""
cs-6,Automated and emerging technologies,Internet of Things,false,"",""
cs-6,Automated and emerging technologies,Wearable technology,false,"",""
cs-6,Automated and emerging technologies,Autonomous vehicle,false,"",""
cs-6,Automated and emerging technologies,Drone,false,"",""
cs-6,Automated and emerging technologies,Big data,false,"",""
cs-6,Automated and emerging technologies,Data mining,false,"",""
cs-6,Automated and emerging technologies,Biometric authentication,false,"",""
cs-6,Automated and emerging technologies,3D printing,false,"",""
cs-6,Automated and emerging technologies,AR,false,"paper:24paper1.json:exact|paper:24paper2.json:exact|paper:25paper1.json:exact|paper:25paper2.json:exact",""
cs-6,Automated and emerging technologies,VR,false,"",""
cs-6,Automated and emerging technologies,Ethical bias,false,"",""
cs-6,Automated and emerging technologies,Transparency,false,"",""
cs-6,Automated and emerging technologies,Explainability,false,"",""
apl-7,Algorithm design and problem-solving,Problem decomposition,false,"",""
apl-7,Algorithm design and problem-solving,Abstraction,false,"paper:24paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Algorithm,false,"paper:24paper2.json:exact|paper:25paper1.json:exact|paper:25paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Pseudocode,false,"paper:24paper2.json:exact|paper:25paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Flowchart,false,"",""
apl-7,Algorithm design and problem-solving,Trace table,false,"",""
apl-7,Algorithm design and problem-solving,Dry run,false,"",""
apl-7,Algorithm design and problem-solving,Test plan,false,"",""
apl-7,Algorithm design and problem-solving,Normal data,false,"",""
apl-7,Algorithm design and problem-solving,Boundary data,false,"",""
apl-7,Algorithm design and problem-solving,Erroneous data,false,"",""
apl-7,Algorithm design and problem-solving,Validation,false,"paper:25paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Verification,false,"paper:25paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Linear search,false,"paper:25paper2.json:exact",""
apl-7,Algorithm design and problem-solving,Binary search,false,"",""
apl-7,Algorithm design and problem-solving,Bubble sort,false,"",""
apl-7,Algorithm design and problem-solving,Insertion sort,false,"",""
apl-7,Algorithm design and problem-solving,Merge sort,false,"",""
apl-7,Algorithm design and problem-solving,Efficiency,false,"",""
apl-8,Programming,Variable,false,"",""
apl-8,Programming,Constant,false,"",""
apl-8,Programming,Integer,false,"paper:24paper2.json:exact|paper:25paper2.json:exact",""
apl-8,Programming,Real,false,"paper:24paper2.json:exact",""
apl-8,Programming,Boolean,false,"",""
apl-8,Programming,Character,false,"paper:24paper2.json:exact",""
apl-8,Programming,String,false,"paper:24paper2.json:exact",""
apl-8,Programming,Casting,false,"",""
apl-8,Programming,Input/Output,false,"",""
apl-8,Programming,Assignment,false,"",""
apl-8,Programming,Arithmetic operator,false,"",""
apl-8,Programming,Relational operator,false,"",""
apl-8,Programming,Logical operator,false,"",""
apl-8,Programming,Sequence,false,"",""
apl-8,Programming,Selection,false,"",""
apl-8,Programming,Iteration,false,"",""
apl-8,Programming,FOR loop,false,"",""
apl-8,Programming,WHILE loop,false,"paper:25paper2.json:exact",""
apl-8,Programming,REPEATâ€¦UNTIL,false,"",""
apl-8,Programming,Array,false,"paper:25paper2.json:exact",""
apl-8,Programming,2D Array,false,"",""
apl-8,Programming,String operations,false,"",""
apl-8,Programming,Subroutine,false,"",""
apl-8,Programming,Procedure,false,"paper:24paper2.json:exact",""
apl-8,Programming,Function,false,"paper:24paper2.json:exact",""
apl-8,Programming,Parameter,false,"",""
apl-8,Programming,Argument,false,"",""
apl-8,Programming,Return value,false,"",""
apl-8,Programming,Scope,false,"",""
apl-8,Programming,ROUND,false,"",""
apl-8,Programming,RANDOM,false,"",""
apl-8,Programming,DIV,false,"paper:24paper2.json:exact",""
apl-8,Programming,MOD,false,"paper:24paper2.json:exact",""
apl-9,Databases,Database,false,"paper:25paper2.json:exact",""
apl-9,Databases,Table,false,"paper:25paper1.json:exact",""
apl-9,Databases,Record,false,"",""
apl-9,Databases,Field,false,"",""
apl-9,Databases,Primary key,false,"",""
apl-9,Databases,SQL,false,"paper:25paper2.json:exact",""
apl-9,Databases,SELECT,false,"paper:25paper2.json:exact",""
apl-9,Databases,FROM,false,"paper:24paper2.json:exact|paper:25paper1.json:exact|paper:25paper2.json:exact",""
apl-9,Databases,WHERE,false,"paper:25paper2.json:exact",""
apl-9,Databases,ORDER BY,false,"paper:25paper2.json:exact",""
apl-10,Boolean logic,Boolean,false,"",""
apl-10,Boolean logic,Logic gate,false,"",""
apl-10,Boolean logic,AND gate,false,"",""
apl-10,Boolean logic,OR gate,false,"",""
apl-10,Boolean logic,NOT gate,false,"",""
apl-10,Boolean logic,NAND gate,false,"",""
apl-10,Boolean logic,NOR gate,false,"",""
apl-10,Boolean logic,XOR gate,false,"",""
apl-10,Boolean logic,Truth table,false,"",""
apl-10,Boolean logic,Boolean expression,false,"",""