unitId,term,hasRelatedQA,numMatches,numAnswerMatches,keywordMatches,definitionSnippet
"cs-1","Bit",true,3,1,"","Smallest unit of data; represents 0 or 1."
"cs-1","Nibble",false,0,0,"","Group of 4 bits."
"cs-1","Byte",false,0,0,"","Group of 8 bits."
"cs-1","Binary",true,2,3,"","Base-2 number system using digits 0 and 1."
"cs-1","Denary",true,3,1,"","Base-10 number system using digits 0–9."
"cs-1","Hexadecimal",true,4,0,"","Base-16 number system using 0–9 and A–F."
"cs-1","Overflow",true,1,0,"","Condition when a value exceeds the representable range."
"cs-1","Character set",false,0,1,"","Collection of characters each with a unique code."
"cs-1","ASCII",true,2,1,"","7/8-bit character encoding for Latin characters."
"cs-1","Unicode",true,1,0,"","Universal character encoding standard with code points."
"cs-1","pixel",false,0,1,"","Smallest addressable element of a raster image."
"cs-1","Resolution",true,2,1,"","Number of pixels in each dimension of an image."
"cs-1","Colour depth",true,2,1,"","Bits used to represent the colour of a pixel."
"cs-1","Metadata",false,0,0,"","Data describing other data such as dimensions or format."
"cs-1","graphic",false,0,0,"","Visual representation; raster or vector forms."
"cs-1","Vector graphics",false,0,0,"","Images defined using geometric primitives."
"cs-1","Sample rate",true,2,1,"","Samples per second measured in Hz."
"cs-1","Bit rate",false,0,0,"","Bits transmitted/stored per second."
"cs-1","Sampling resolution",false,0,0,"","Bits used to store each sample’s amplitude."
"cs-1","Compression",true,2,0,"","Reducing file size while preserving information."
"cs-1","Lossless compression",false,0,0,"","Compression without losing information."
"cs-1","Lossy compression",true,1,0,"","Compression that removes some information."
"cs-1","Run-length encoding (RLE)",false,0,0,"","Encoding consecutive repeated values as count-value pairs."
"cs-2","Serial transmission",false,0,1,"","Bits sent one after another over a single channel."
"cs-2","Parallel transmission",false,0,0,"","Multiple bits sent simultaneously across several channels."
"cs-2","Simplex",true,2,1,"","Communication in one direction only."
"cs-2","Half-duplex",true,1,0,"","Communication both ways but not at the same time."
"cs-2","Full-duplex",true,1,0,"","Communication both ways simultaneously."
"cs-2","Packet",true,2,4,"","Unit of data sent across a network with header and payload."
"cs-2","Header",false,0,1,"","Control information at the start of a packet."
"cs-2","Payload",false,0,1,"","User data carried in a packet."
"cs-2","Trailer",false,0,1,"","Data at the end of a packet, often for error checking."
"cs-2","Checksum",true,1,1,"","Calculated value used to detect errors in data."
"cs-2","Parity bit",false,0,0,"","Bit added to make the total number of 1s even/odd."
"cs-2","Even parity",false,0,0,"","Parity method ensuring an even number of 1s."
"cs-2","Odd parity",false,0,0,"","Parity method ensuring an odd number of 1s."
"cs-2","ARQ",true,1,0,"","Automatic repeat request protocol for retransmission."
"cs-2","ACK/NACK",false,0,0,"","Positive/negative acknowledgements to confirm receipt."
"cs-2","Protocol",false,0,0,"","Agreed rules for data communication."
"cs-2","Packet switching",true,1,0,"","Data split into packets routed independently."
"cs-2","Buffering",false,0,0,"","Storing data temporarily to manage differences in speed."
"cs-3","CPU",true,2,1,"","Central processing unit executing instructions."
"cs-3","ALU",true,1,1,"","Arithmetic logic unit performing operations."
"cs-3","Control unit",true,1,1,"","Directs operations of the processor."
"cs-3","Clock",true,1,1,"","Generates timing signals controlling the processor."
"cs-3","Register",false,0,0,"","Small, fast storage within the CPU."
"cs-3","Cache memory",false,0,0,"","Fast memory storing frequently accessed data."
"cs-3","RAM",true,1,3,"","Volatile main memory for programs and data in use."
"cs-3","ROM",true,1,1,"","Any one from:\n• Permanently store instructions (in ROM)\n• Stores instructions to boot up/start up the computer\n• Prov"
"cs-3","Bus",false,0,2,"","Set of wires carrying data, addresses and control signals."
"cs-3","Data bus",false,0,1,"","Transfers actual data between components."
"cs-3","Address bus",false,0,2,"","Carries memory addresses for data access."
"cs-3","Control bus",false,0,1,"","Carries control signals coordinating operations."
"cs-3","Von Neumann architecture",true,1,0,"","Shared memory for instructions and data."
"cs-3","Input device",true,1,0,"","Hardware used to enter data into a system."
"cs-3","Output device",true,2,0,"","Hardware used to present data from a system."
"cs-3","Sensor",true,1,2,"","Device detecting physical properties to produce data."
"cs-3","Actuator",false,0,1,"","Device converting data signals into physical action."
"cs-3","Secondary storage",false,0,1,"","Non-volatile storage for long-term data."
"cs-3","HDD",true,1,1,"","Magnetic storage using spinning disks."
"cs-3","SSD",true,1,2,"","Solid-state storage using flash memory."
"cs-3","Optical storage",true,1,0,"","Storage using lasers to read/write data."
"cs-3","Magnetic tape",false,0,0,"","Sequential access magnetic storage medium."
"cs-3","Embedded system",true,1,1,"","Computer dedicated to a specific function within a larger system."
"cs-3","Microcontroller",false,0,0,"","Integrated chip with CPU, memory and I/O for control tasks."
"cs-3","GPU",false,0,0,"","Processor specialized for graphics and parallel tasks."
"cs-4","System software",true,1,1,"","Any two from:\n• System software manages/maintains the hardware/software\n• Applications software allows the user to per"
"cs-4","Application software",true,1,1,"","Any two from:\n• System software manages/maintains the hardware/software\n• Applications software allows the user to per"
"cs-4","Utility software",false,0,0,"","Programs performing maintenance or optimization tasks."
"cs-4","Firmware",false,0,0,"","Any one from:\n• Permanently store instructions (in ROM)\n• Stores instructions to boot up/start up the computer\n• Prov"
"cs-4","Operating system",true,1,0,"","Any three from:\n• It performs the basic functions of a computer\n• It manages the hardware\n• It provides a platform to"
"cs-4","Device driver",false,0,0,"","Software controlling communication with hardware devices."
"cs-4","User interface",false,0,0,"","Any three from:\n• It performs the basic functions of a computer\n• It manages the hardware\n• It provides a platform to"
"cs-4","CLI",true,1,1,"","Command-line interface using typed commands."
"cs-4","GUI",true,1,0,"","Graphical user interface using windows, icons and menus."
"cs-4","Multitasking",false,0,0,"","Running multiple tasks apparently simultaneously."
"cs-4","Scheduling",false,0,1,"","Deciding which process runs and for how long."
"cs-4","Memory management",false,0,1,"","Allocation and control of primary memory."
"cs-4","File management",false,0,1,"","Creation, storage and access of files and directories."
"cs-4","Process management",false,0,0,"","Scheduling and control of running tasks."
"cs-4","Security",false,0,1,"","Authentication, authorization and protection mechanisms."
"cs-4","Translator",false,0,0,"","Software converting source code into machine code."
"cs-4","Compiler",true,1,2,"","Two from for each compiler and interpreter.\nCompiler\n• Checks all code before executing any code\n• Produces error rep"
"cs-4","Interpreter",true,1,2,"","Two from for each compiler and interpreter.\nCompiler\n• Checks all code before executing any code\n• Produces error rep"
"cs-4","Assembler",false,0,1,"","Converts assembly language to machine code."
"cs-4","Source code",false,0,0,"","Human-readable program text."
"cs-4","Object code",false,0,1,"","Machine code produced by a translator."
"cs-4","High-level language",true,1,0,"","Language close to human readability and abstraction."
"cs-4","Low-level language",true,1,0,"","Language close to machine operations and hardware."
"cs-4","Open source",false,0,0,"","Software released with source code and permissive license."
"cs-4","Proprietary software",true,1,0,"","Software licensed with restricted use and access."
"cs-4","IDE",false,0,0,"","Integrated development environment supporting coding tasks."
"cs-5","Internet",false,0,0,"","Global network of interconnected networks."
"cs-5","World Wide Web",false,0,0,"","Interlinked documents and resources accessed via browsers."
"cs-5","Web browser",false,0,0,"","Software used to retrieve, render and navigate web pages."
"cs-5","URL",false,0,2,"","Uniform Resource Locator identifying a resource."
"cs-5","Domain name",false,0,1,"","Human-readable address of an internet resource."
"cs-5","DNS",true,1,1,"","Domain Name System translating names to IP addresses."
"cs-5","IP address",false,0,1,"","Numerical label identifying a device on a network."
"cs-5","HTTP",true,1,1,"","HyperText Transfer Protocol for web communication."
"cs-5","HTTPS",true,2,1,"","Secure version of HTTP using TLS encryption."
"cs-5","HTML",false,0,0,"","Markup language for structuring web content."
"cs-5","CSS",false,0,0,"","Style sheet language for describing presentation."
"cs-5","JavaScript",false,0,0,"","Programming language for dynamic web content."
"cs-5","ISP",false,0,0,"","Internet Service Provider offering connectivity."
"cs-5","Email",false,0,2,"","Electronic mail system for messages."
"cs-5","FTP",false,0,0,"","File Transfer Protocol for moving files."
"cs-5","Cookie",true,1,0,"","Small data stored by a browser for a website."
"cs-5","Firewall",true,1,1,"","Network security system controlling traffic."
"cs-5","Malware",false,0,1,"","Malicious software designed to cause harm."
"cs-5","Phishing",true,2,1,"","Fraudulent attempt to obtain sensitive information."
"cs-5","Trojan",true,1,1,"","Malware disguised as legitimate software."
"cs-5","Spyware",false,0,0,"","Malware that secretly gathers information."
"cs-5","Antivirus",false,0,0,"","Software that detects and removes malware."
"cs-5","Encryption",false,0,0,"","Any one from:\n• It encrypts it\n• Uses digital certificates"
"cs-5","TLS/SSL",false,0,1,"","Protocols providing secure communication."
"cs-5","Digital certificate",false,0,1,"","Electronic document verifying identity and public key."
"cs-5","Digital signature",true,1,1,"","Cryptographic proof of content integrity and origin."
"cs-5","Authentication",false,0,1,"","Verifying user identity."
"cs-5","Proxy server",false,0,0,"","Intermediate server forwarding requests."
"cs-6","Automation",false,0,0,"","Use of technology to perform tasks with minimal human input."
"cs-6","Artificial intelligence",false,0,0,"","Any two from:\n• The **simulation** of intelligent behaviours by computers\n• A collection of data and the rules for usi"
"cs-6","Machine learning",false,0,0,"","Algorithms improving performance through data experience."
"cs-6","Expert system",false,0,0,"","Computer system emulating decision-making of human experts."
"cs-6","Robotics",false,0,0,"","Any two from:\n• The design of robots (to perform tasks/operations/functions)\n• The construction of robots (to perform "
"cs-6","Computer vision",false,0,0,"","Enabling computers to interpret visual information."
"cs-6","Natural language processing",false,0,0,"","Computational techniques for understanding human language."
"cs-6","Speech recognition",false,0,0,"","Converting spoken language to text."
"cs-6","Actuator",false,0,0,"","Device converting signals into physical movement."
"cs-6","Sensor",false,0,0,"","Device detecting changes in environment."
"cs-6","Internet of Things",false,0,0,"","Network of connected devices collecting and sharing data."
"cs-6","Wearable technology",false,0,0,"","Electronics worn on the body collecting data."
"cs-6","Autonomous vehicle",false,0,0,"","Vehicle capable of self-navigation without human input."
"cs-6","Drone",false,0,0,"","Unmanned aerial vehicle controlled remotely or autonomously."
"cs-6","Big data",false,0,0,"","Large, complex datasets requiring advanced processing."
"cs-6","Data mining",false,0,0,"","Discovering patterns and insights in large datasets."
"cs-6","Biometric authentication",false,0,0,"","Identification using biological characteristics."
"cs-6","3D printing",false,0,0,"","Creating physical objects layer by layer from a digital model."
"cs-6","AR",false,0,0,"","Augmented reality overlaying digital content onto the real world."
"cs-6","VR",false,0,0,"","Virtual reality creating immersive simulated environments."
"cs-6","Ethical bias",false,0,0,"","Systematic errors unfairly affecting groups or outcomes."
"cs-6","Transparency",false,0,0,"","Clarity about how systems operate and make decisions."
"cs-6","Explainability",false,0,0,"","Ability to understand and justify system outputs."
"apl-7","Problem decomposition",false,0,0,"","Breaking a problem into smaller manageable parts."
"apl-7","Abstraction",false,0,0,"","Hiding unnecessary detail to focus on relevant aspects."
"apl-7","Algorithm",true,1,1,"","Finite sequence of steps to solve a problem."
"apl-7","Pseudocode",true,2,0,"","Structured English describing algorithms independent of language."
"apl-7","Flowchart",true,1,0,"","Diagram representing sequence and control flow."
"apl-7","Trace table",true,1,0,"","Table tracking variable values step by step."
"apl-7","Dry run",false,0,0,"","Manual simulation of code to check logic."
"apl-7","Test plan",false,0,0,"","Structured approach outlining tests to validate software."
"apl-7","Normal data",false,0,1,"","Typical valid inputs expected during regular use."
"apl-7","Boundary data",false,0,1,"","Inputs at the extremes of acceptable ranges."
"apl-7","Erroneous data",false,0,0,"","Inputs with incorrect types or invalid values."
"apl-7","Validation",false,0,0,"","Checking input meets format or constraints."
"apl-7","Verification",false,0,0,"","Ensuring product meets specification and intent."
"apl-7","Linear search",true,1,1,"","Searching sequentially through a list."
"apl-7","Binary search",true,1,1,"","Searching a sorted list by halving the search space."
"apl-7","Bubble sort",true,1,0,"","Repeatedly swapping adjacent out-of-order elements."
"apl-7","Insertion sort",false,0,0,"","Building sorted list by inserting elements into position."
"apl-7","Merge sort",false,0,0,"","Divide and conquer sorting by merging sorted sublists."
"apl-7","Efficiency",false,0,0,"","Measure of resources used by an algorithm."
"apl-8","Variable",false,0,0,"","Named storage location holding a value."
"apl-8","Constant",false,0,0,"","Value that does not change during execution."
"apl-8","Integer",false,0,0,"","Whole number data type."
"apl-8","Real",false,0,0,"","Numeric data type representing real numbers (IG scope: used without floating-point internals)."
"apl-8","Boolean",false,0,0,"","Logical true/false data type."
"apl-8","Character",false,0,0,"","Single symbol data type."
"apl-8","String",false,0,0,"","Sequence of characters."
"apl-8","Casting",false,0,0,"","Converting a value from one data type to another."
"apl-8","Input/Output",false,0,0,"","Reading data from user and displaying results."
"apl-8","Assignment",false,0,0,"","Storing a value in a variable."
"apl-8","Arithmetic operator",false,0,0,"","Performs mathematical operations (+, −, ×, ÷)."
"apl-8","Relational operator",false,0,0,"","Compares values to produce Boolean results."
"apl-8","Logical operator",false,0,0,"","Combines/complements Boolean expressions."
"apl-8","Sequence",false,0,0,"","Ordered execution of statements."
"apl-8","Selection",false,0,0,"","Branching based on a condition (IF/ELSE)."
"apl-8","Iteration",false,0,0,"","Looping to repeat a block of code."
"apl-8","FOR loop",false,0,0,"","Definite iteration over a range or count."
"apl-8","WHILE loop",false,0,0,"","Indefinite iteration while condition is true."
"apl-8","REPEAT…UNTIL",false,0,0,"","Loop executing until condition becomes true."
"apl-8","Array",false,0,0,"","Indexed collection of elements of the same type."
"apl-8","2D Array",false,0,0,"","Array of arrays accessed by row and column."
"apl-8","String operations",false,0,0,"","Concatenation, substring, length and indexing."
"apl-8","Subroutine",false,0,0,"","Named block of code performing a task."
"apl-8","Procedure",false,0,0,"","Subroutine that does not return a value."
"apl-8","Function",false,0,0,"","Subroutine that returns a value."
"apl-8","Parameter",false,0,0,"","Variable used to pass data into a subroutine."
"apl-8","Argument",false,0,0,"","Actual value passed to a subroutine."
"apl-8","Return value",false,0,0,"","Data sent back from a function to the caller."
"apl-8","Scope",false,0,0,"","Visibility of variables (local/global)."
"apl-8","ROUND",false,0,0,"","Rounds a number to a specified number of decimal places."
"apl-8","RANDOM",false,0,0,"","Generates a random number within a specified range."
"apl-8","DIV",false,0,0,"","Integer division operator returning the quotient."
"apl-8","MOD",false,0,0,"","Modulo operator returning the remainder after division."
"apl-9","Database",false,0,0,"","Organised collection of related data."
"apl-9","Table",false,0,0,"","Structure containing records arranged in fields and rows."
"apl-9","Record",false,0,0,"","Single row of related data in a table."
"apl-9","Field",false,0,0,"","Single column representing an attribute."
"apl-9","Primary key",false,0,0,"","Unique identifier for a record."
"apl-9","SQL",false,0,0,"","Structured Query Language for managing data."
"apl-9","SELECT",false,0,0,"","Statement to retrieve data from tables."
"apl-9","FROM",false,0,0,"","Clause specifying the source table."
"apl-9","WHERE",false,0,0,"","Clause filtering rows by conditions."
"apl-9","ORDER BY",false,0,0,"","Clause sorting results."
"apl-10","Boolean",false,0,0,"","Data type with only two values: true/false."
"apl-10","Logic gate",false,0,0,"","Electronic component performing Boolean operations."
"apl-10","AND gate",false,0,0,"","Outputs true only if all inputs are true."
"apl-10","OR gate",false,0,0,"","Outputs true if any input is true."
"apl-10","NOT gate",false,0,0,"","Inverts the input value."
"apl-10","NAND gate",false,0,0,"","Outputs false only if all inputs are true."
"apl-10","NOR gate",false,0,0,"","Outputs true only if all inputs are false."
"apl-10","XOR gate",false,0,0,"","Outputs true if inputs are different."
"apl-10","Truth table",false,0,0,"","Table listing outputs for all input combinations."
"apl-10","Boolean expression",false,0,0,"","Algebraic formula using Boolean variables and operators."